MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.530821	5.4141	137.575	4.59841	28093.3	14.7554	17.7579	124
"permutation (incr. sorting)"	0.582574	2.78086	19.0053	23.8818	24966	2.8474	19.9872	6
"permutation (pref. index)"	0.569925	2.81637	18.5638	26.464	68011.3	2.53927	7.25112	0
"vptree: triangle inequality"	0.672451	1.54857	1.62029	10.5541	67598.4	6.4342	7.38448	106
"bbtree"	0.468047	8.14501	220.984	2.30417	14067.8	29.4948	35.4741	123
"permutation (incr. sorting)"	0.552824	3.32562	28.7227	22.1762	22193	3.06927	22.4846	6
"permutation (pref. index)"	0.520417	3.25895	22.5481	11.9945	31857.8	5.26713	14.5405	0
"vptree: triangle inequality"	0.510407	2.1836	4.23542	5.73084	36547.4	11.8549	13.6476	106
"bbtree"	0.407026	12.1285	338.296	1.15296	7066.85	57.9893	70.6213	123
"permutation (incr. sorting)"	0.554418	3.1859	23.2379	20.2704	19421	3.30798	25.6938	6
"permutation (pref. index)"	0.449785	4.45596	34.6629	8.47821	22324.5	7.63671	21.5892	0
"vptree: triangle inequality"	0.370026	3.97173	16.4743	2.7557	17442.1	24.1588	28.487	106
"bbtree"	0.367007	17.9182	526.848	0.578769	3539.05	115.374	141.006	123
"permutation (incr. sorting)"	0.525871	3.54371	24.6477	18.8833	16649	3.54494	29.9718	6
"permutation (pref. index)"	0.386667	7.24959	73.809	4.48316	11975.7	14.9037	41.6684	0
"vptree: triangle inequality"	0.297834	6.10493	32.4959	1.62262	10143	41.1747	49.2214	107
"bbtree"	0.318132	27.658	694.977	0.296051	1780.72	225.743	280.258	123
"permutation (incr. sorting)"	0.50804	3.91765	38.3759	17.3126	13877	3.86602	35.9588	6
"permutation (pref. index)"	0.325849	12.3771	128.811	2.04421	5413.15	32.3335	91.0688	0
"vptree: triangle inequality"	0.264723	9.09371	58.9762	0.982001	6055.56	67.899	82.2178	107
"bbtree"	0.29076	41.1007	1040.02	0.153385	907.938	436.99	549.675	124
"permutation (incr. sorting)"	0.495434	4.42405	39.1619	15.5342	11104	4.33164	44.9388	6
"permutation (pref. index)"	0.285548	20.6911	242.77	1.06619	2798.09	61.7297	175.522	0
"vptree: triangle inequality"	0.23579	15.5619	119.086	0.520683	3146.8	127.977	157.605	106
"bbtree"	0.268087	57.7105	1451	0.0843749	479.089	791.165	1041.89	123
"permutation (incr. sorting)"	0.455769	5.59905	60.5615	14.1216	8332	4.74758	59.8896	6
"permutation (pref. index)"	0.259887	33.4132	475.405	0.59462	1571.99	104.271	284.037	0
"vptree: triangle inequality"	0.192813	27.2747	235.747	0.262786	1543.29	253.604	322.672	107
"bbtree"	0.248504	79.615	1803.87	0.0486054	263.497	1374.46	1894.21	124
"permutation (incr. sorting)"	0.419896	7.01974	73.863	12.5358	5560	5.35111	89.7482	6
"permutation (pref. index)"	0.24953	48.4311	735.29	0.375774	1049.82	169.713	454.478	0
"vptree: triangle inequality"	0.175187	52.818	522.031	0.110505	622.464	603.844	799.643	106
"bbtree"	0.226404	120.287	2603.11	0.0312297	157.174	2162.55	3174.64	123
"permutation (incr. sorting)"	0.371139	11.3778	162.574	10.8526	2788	6.25115	178.981	6
"permutation (pref. index)"	0.234803	79.2646	1162.66	0.193157	504.104	339.332	943.287	0
"vptree: triangle inequality"	0.151602	175.168	1649.44	0.0238113	116.874	2805.34	4227.54	107
