MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.999998	1	2.49626e-06	0.545634	7484.79	17.7723	66.6137	15
"permutation (incr. sorting)"	0.992796	1.00359	0.00281235	12.3223	7501	0.787888	66.5245	6
"permutation (pref. index)"	0.916613	1.09498	0.203022	8.34676	54947.9	1.03571	8.04239	0
"vptree: triangle inequality"	0.919685	1.08097	0.196183	0.0731015	1818.37	129.244	267.803	18
"bbtree"	0.999998	1	2.49626e-06	0.537652	7382.2	17.9644	67.5905	15
"permutation (incr. sorting)"	0.990571	1.00739	0.0102959	11.9303	6669	0.811982	74.8238	6
"permutation (pref. index)"	0.885948	1.13639	0.305535	3.35511	22996.1	2.63012	19.8978	0
"vptree: triangle inequality"	0.831949	1.17241	0.3365	0.0151298	299.379	624.438	1641.87	18
"bbtree"	0.999998	1	2.49626e-06	0.527567	7248.67	18.6223	68.8546	16
"permutation (incr. sorting)"	0.993451	1.00422	0.00507048	11.4641	5837	0.857655	85.4891	6
"permutation (pref. index)"	0.849745	1.18752	0.434426	2.20254	14912.4	4.19484	31.6811	0
"vptree: triangle inequality"	0.748795	1.3224	0.67092	0.0089795	154.492	1078.28	3230.17	17
"bbtree"	0.990718	1.00849	0.0151377	0.415482	5699.03	23.6192	87.6016	16
"permutation (incr. sorting)"	0.987733	1.00994	0.0157193	11.2495	5006	0.871895	99.6804	6
"permutation (pref. index)"	0.807614	1.25752	0.645083	1.42576	9813.73	6.81026	50.2373	0
"vptree: triangle inequality"	0.661769	1.52163	1.32131	0.00574917	84.7604	1662.77	5892.86	17
"bbtree"	0.939272	1.066	0.147755	0.204596	3025.29	47.1046	164.932	15
"permutation (incr. sorting)"	0.973158	1.02685	0.0494685	10.8684	4174	0.88743	119.55	6
"permutation (pref. index)"	0.77311	1.32338	0.720155	0.930396	6354.24	10.3753	78.7437	0
"vptree: triangle inequality"	0.584047	1.77305	1.99026	0.0047384	64.7379	1978.04	7692.46	18
"bbtree"	0.886927	1.14191	0.268978	0.0930548	1453.12	103.511	343.412	16
"permutation (incr. sorting)"	0.972633	1.02315	0.0488816	10.7391	3342	0.899423	149.312	6
"permutation (pref. index)"	0.742258	1.4134	1.17244	0.706762	5267.71	13.7323	94.8136	0
"vptree: triangle inequality"	0.528056	2.24283	5.61637	0.0039682	50.2994	2348.74	9912.95	17
"bbtree"	0.811507	1.27148	0.777851	0.0423315	703.773	230.108	709.05	15
"permutation (incr. sorting)"	0.961923	1.03307	0.0727624	10.1879	2511	0.956878	198.726	6
"permutation (pref. index)"	0.71652	1.49275	1.68301	0.466131	3366.82	19.9456	136.155	0
"vptree: triangle inequality"	0.47315	2.88321	13.5363	0.0036072	43.8482	2611.26	11370.8	18
"bbtree"	0.741081	1.41839	1.44595	0.0206084	351.217	464.294	1420.69	16
"permutation (incr. sorting)"	0.931125	1.06813	0.139605	9.9912	1679	0.966003	297.201	6
"permutation (pref. index)"	0.681229	1.60521	2.72917	0.453765	3258.55	21.0133	142.591	0
"vptree: triangle inequality"	0.483981	2.75953	12.5246	0.0036134	43.8947	2573.06	11356	17
"bbtree"	0.70692	1.49031	1.61355	0.011896	189.577	832.789	2631.42	15
"permutation (incr. sorting)"	0.87518	1.13273	0.242477	9.28778	847	1.07793	589.138	6
"permutation (pref. index)"	0.678335	1.6433	2.83125	0.196147	2361.88	49.3397	203.73	0
"vptree: triangle inequality"	0.486491	2.78528	14.1783	0.003378	43.8028	2855.11	11370.3	18
