MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"projection (perm) incr. sorting"	0.6055	0.678717	1.58352	0.58	0	184.999	656	82.1678	1524.09	617	"projType=perm,intermDim=0,projDim=256,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.6575	0.729013	1.45371	0.445	0	190.095	856	79.9651	1167.99	617	"projType=perm,intermDim=0,projDim=256,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.729	0.791655	1.31504	0.275	0	202.797	1256	74.9566	796.019	617	"projType=perm,intermDim=0,projDim=256,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.8915	0.923484	1.09462	0.08	0	294.182	4256	51.672	234.915	617	"projType=perm,intermDim=0,projDim=256,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.9315	0.952507	1.05634	0.045	0	355.164	6256	42.8	159.815	617	"projType=perm,intermDim=0,projDim=256,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.9605	0.968953	1.03641	0.04	0	477.087	10256	31.8622	97.4844	617	"projType=perm,intermDim=0,projDim=256,knnAmp=1000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.995	0.99588	1.00466	0.005	0	1389.37	40256	10.941	24.836	617	"projType=perm,intermDim=0,projDim=256,knnAmp=4000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.399	0.461418	2.52619	1.33	0	332.844	612	45.6701	1633.66	2570	"projType=perm,intermDim=0,projDim=512,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.5995	0.678017	1.57971	0.505	0	340.671	912	44.6207	1096.27	617	"projType=perm,intermDim=0,projDim=512,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.654	0.726639	1.4554	0.42	0	344.001	1112	44.1888	899.101	617	"projType=perm,intermDim=0,projDim=512,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.726	0.789811	1.31644	0.27	0	357.878	1512	42.4754	661.243	617	"projType=perm,intermDim=0,projDim=512,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.89	0.920112	1.09896	0.095	0	449.096	4512	33.8481	221.587	617	"projType=perm,intermDim=0,projDim=512,knnAmp=400,useCosine=0"	999800
