MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"projection (perm) incr. sorting"	0.7225	0.781495	1.38121	0.325	0	27.2099	632	2.2088	1581.96	488	"projType=perm,intermDim=0,projDim=32,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.7755	0.828303	1.27218	0.235	0	27.3925	1032	2.19407	968.798	488	"projType=perm,intermDim=0,projDim=32,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.9135	0.937515	1.08287	0.07	0	28.888	4032	2.08047	247.966	488	"projType=perm,intermDim=0,projDim=32,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.9355	0.953847	1.05853	0.04	0	29.8493	6032	2.01346	165.749	488	"projType=perm,intermDim=0,projDim=32,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.96	0.974411	1.03146	0.025	0	31.7501	10032	1.89291	99.6611	488	"projType=perm,intermDim=0,projDim=32,knnAmp=1000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.991	0.995523	1.00493	0	0	46.6829	40032	1.28744	24.975	488	"projType=perm,intermDim=0,projDim=32,knnAmp=4000,useCosine=0"	999800
"projection (rand) incr. sorting"	0.9435	0.96942	1.03669	0.02	0	37.2178	100	1.61487	9998	732	"projType=rand,projDim=64,knnAmp=10"	999800
"projection (rand) incr. sorting"	0.9945	0.997614	1.00256	0	0	37.3274	400	1.61013	2499.5	488	"projType=rand,projDim=64,knnAmp=40"	999800
"projection (rand) incr. sorting"	0.998	0.999047	1.00102	0	0	37.4715	600	1.60394	1666.33	488	"projType=rand,projDim=64,knnAmp=60"	999800
"projection (rand) incr. sorting"	0.9995	0.999955	1.00005	0	0	37.6954	1000	1.59441	999.8	488	"projType=rand,projDim=64,knnAmp=100"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	39.1109	4000	1.5367	249.95	488	"projType=rand,projDim=64,knnAmp=400"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	40.1376	6000	1.49739	166.633	488	"projType=rand,projDim=64,knnAmp=600"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	42.0927	10000	1.42783	99.98	488	"projType=rand,projDim=64,knnAmp=1000"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	56.2609	40000	1.06827	24.995	488	"projType=rand,projDim=64,knnAmp=4000"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	58.9299	100	1.0199	9998	976	"projType=rand,projDim=128,knnAmp=10"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	58.8431	400	1.02141	2499.5	488	"projType=rand,projDim=128,knnAmp=40"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	58.9892	600	1.01888	1666.33	488	"projType=rand,projDim=128,knnAmp=60"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	59.2151	1000	1.015	999.8	488	"projType=rand,projDim=128,knnAmp=100"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	60.7442	4000	0.989441	249.95	488	"projType=rand,projDim=128,knnAmp=400"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	61.666	6000	0.974651	166.633	488	"projType=rand,projDim=128,knnAmp=600"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	63.5401	10000	0.9459	99.98	488	"projType=rand,projDim=128,knnAmp=1000"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	77.5494	40000	0.775026	24.995	488	"projType=rand,projDim=128,knnAmp=4000"	999800
"projection (rand) incr. sorting"	0.9995	0.999955	1.00005	0	0	98.786	100	0.608423	9998	1464	"projType=rand,projDim=256,knnAmp=10"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	98.8953	400	0.60775	2499.5	488	"projType=rand,projDim=256,knnAmp=40"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	99.003	600	0.607089	1666.33	488	"projType=rand,projDim=256,knnAmp=60"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	99.1879	1000	0.605957	999.8	488	"projType=rand,projDim=256,knnAmp=100"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	100.656	4000	0.597119	249.95	488	"projType=rand,projDim=256,knnAmp=400"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	101.611	6000	0.591505	166.633	488	"projType=rand,projDim=256,knnAmp=600"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	103.467	10000	0.580892	99.98	488	"projType=rand,projDim=256,knnAmp=1000"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	117.449	40000	0.51174	24.995	488	"projType=rand,projDim=256,knnAmp=4000"	999800
"projection (rand) incr. sorting"	0.9995	0.999849	1.00016	0	0	183.001	100	0.328436	9998	2441	"projType=rand,projDim=512,knnAmp=10"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	183.067	400	0.328317	2499.5	488	"projType=rand,projDim=512,knnAmp=40"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	183.145	600	0.328177	1666.33	488	"projType=rand,projDim=512,knnAmp=60"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	183.377	1000	0.327762	999.8	488	"projType=rand,projDim=512,knnAmp=100"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	184.844	4000	0.325161	249.95	488	"projType=rand,projDim=512,knnAmp=400"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	185.829	6000	0.323438	166.633	488	"projType=rand,projDim=512,knnAmp=600"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	187.667	10000	0.32027	99.98	488	"projType=rand,projDim=512,knnAmp=1000"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	201.18	40000	0.298757	24.995	488	"projType=rand,projDim=512,knnAmp=4000"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	345.155	100	0.174137	9998	4394	"projType=rand,projDim=1024,knnAmp=10"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	345.229	400	0.1741	2499.5	488	"projType=rand,projDim=1024,knnAmp=40"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	345.5	600	0.173963	1666.33	488	"projType=rand,projDim=1024,knnAmp=60"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	345.617	1000	0.173904	999.8	488	"projType=rand,projDim=1024,knnAmp=100"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	346.886	4000	0.173268	249.95	488	"projType=rand,projDim=1024,knnAmp=400"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	347.759	6000	0.172833	166.633	488	"projType=rand,projDim=1024,knnAmp=600"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	350.002	10000	0.171725	99.98	488	"projType=rand,projDim=1024,knnAmp=1000"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	363.756	40000	0.165232	24.995	488	"projType=rand,projDim=1024,knnAmp=4000"	999800
"projection (perm) incr. sorting"	0.1575	0.176384	10.3569	21.375	0	21.1901	116	2.83621	8618.97	549	"projType=perm,projDim=16,knnAmp=10"	999800
"projection (perm) incr. sorting"	0.332	0.373995	4.10478	4.975	0	21.3371	416	2.81666	2403.37	488	"projType=perm,projDim=16,knnAmp=40"	999800
"projection (perm) incr. sorting"	0.392	0.441991	3.19281	3.305	0	21.4395	616	2.80322	1623.05	488	"projType=perm,projDim=16,knnAmp=60"	999800
"projection (perm) incr. sorting"	0.4675	0.525237	2.47257	1.735	0	21.6438	1016	2.77676	984.055	488	"projType=perm,projDim=16,knnAmp=100"	999800
"projection (perm) incr. sorting"	0.6815	0.742403	1.4917	0.63	0	23.1546	4016	2.59558	248.954	488	"projType=perm,projDim=16,knnAmp=400"	999800
"projection (perm) incr. sorting"	0.7465	0.797361	1.34636	0.455	0	24.2874	6016	2.47451	166.19	488	"projType=perm,projDim=16,knnAmp=600"	999800
