MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.995858	1.00294	0.00407841	2.0574	22349.8	5.27868	22.3307	53
"permutation (incr. sorting)"	0.953744	1.05543	0.150486	12.7379	9996	0.85285	49.92	36
"permutation (pref. index)"	0.867487	1.1707	0.378121	2.54493	78754.3	4.25344	6.30885	45
"vptree: triangle inequality"	0.885694	1.10905	0.333625	0.657602	17709.7	16.3722	27.9458	55
"bbtree"	0.974547	1.02644	0.0552697	1.52617	16805.3	7.04904	29.701	53
"permutation (incr. sorting)"	0.888575	1.1447	0.369422	12.5745	8887	0.856958	56.1494	36
"permutation (pref. index)"	0.824278	1.25728	0.821981	0.812661	26697.9	10.2193	14.8632	45
"vptree: triangle inequality"	0.752387	1.31113	0.843004	0.0818566	1877.21	130.87	265.492	55
"bbtree"	0.924268	1.10275	0.36626	0.90581	10543.2	11.9416	47.3545	52
"permutation (incr. sorting)"	0.924584	1.08832	0.184595	11.9134	7778	0.906851	64.1553	36
"permutation (pref. index)"	0.771842	1.35614	1.36172	0.558235	18238.3	19.4568	27.3481	46
"vptree: triangle inequality"	0.637753	1.6034	1.83873	0.0322121	685.19	333.334	727.15	55
"bbtree"	0.867995	1.16782	0.402232	0.445595	5514.78	24.3273	90.5136	53
"permutation (incr. sorting)"	0.895076	1.11861	0.227134	11.756	6669	0.921549	74.8238	36
"permutation (pref. index)"	0.692965	1.57886	2.30744	0.357334	11957.3	30.3489	41.7686	45
"vptree: triangle inequality"	0.538817	2.00648	3.44127	0.0170978	330.695	624.655	1494.78	55
"bbtree"	0.797289	1.28907	1.14169	0.19889	2699.26	54.6093	184.831	52
"permutation (incr. sorting)"	0.904666	1.11763	0.354234	11.4206	5560	0.95089	89.7482	36
"permutation (pref. index)"	0.634905	1.86003	6.04913	0.197549	6638.33	54.8842	74.5101	46
"vptree: triangle inequality"	0.470892	2.3818	4.9154	0.0129971	238.142	822.47	2078.72	55
"bbtree"	0.74353	1.40323	1.33097	0.0902054	1315.66	119.41	379.165	53
"permutation (incr. sorting)"	0.868746	1.19344	0.723252	11.0507	4451	0.978441	112.11	36
"permutation (pref. index)"	0.599261	2.05432	7.46443	0.106898	3758.41	100.226	132.528	45
"vptree: triangle inequality"	0.424122	3.27979	13.9686	0.00658922	102.75	1601.24	4828.52	55
"bbtree"	0.676786	1.6056	2.04899	0.0427597	651.371	252.251	766.062	53
"permutation (incr. sorting)"	0.850009	1.19743	0.46051	10.6284	3342	1.02072	149.312	36
"permutation (pref. index)"	0.538658	2.5111	12.1567	0.0632522	2269.48	169.517	218.953	45
"vptree: triangle inequality"	0.362516	5.03368	34.7949	0.0047872	66.225	2204.4	7531.59	55
"bbtree"	0.625968	1.77618	3.26091	0.0212043	332.523	515.985	1500.1	53
"permutation (incr. sorting)"	0.815206	1.29604	0.846719	10.2328	2233	1.07411	223.466	36
"permutation (pref. index)"	0.486182	3.29135	42.5526	0.0446164	1661.41	243.428	289.979	45
"vptree: triangle inequality"	0.306459	9.30221	176.673	0.0035674	44.3083	2985.32	11255.4	55
"bbtree"	0.589219	1.97239	5.06111	0.0128171	182.013	847.068	2741.92	53
"permutation (incr. sorting)"	0.726149	1.50705	2.54938	9.71851	1124	1.13447	443.95	36
"permutation (pref. index)"	0.483086	3.57788	52.8929	0.0300275	1140.68	352.83	413.617	45
"vptree: triangle inequality"	0.302773	9.1431	151.912	0.0035442	43.9456	2990.95	11340.7	55
