MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.836849	1.28276	1.73966	25.5051	35134.8	4.6385	14.2061	232
"permutation (incr. sorting)"	0.743924	1.40303	1.33808	33.3065	29956	3.5588	16.6578	6
"permutation (pref. index)"	0.681262	1.78565	5.22843	69.2907	126026	1.68297	3.87422	0
"vptree: triangle inequality"	0.908469	1.09837	0.225644	41.5085	157172	2.8506	3.17475	201
"bbtree"	0.796098	1.41156	2.98271	12.9028	18106.2	8.45871	27.5505	231
"permutation (incr. sorting)"	0.741362	1.44544	1.43818	29.9201	26629	3.67769	18.739	6
"permutation (pref. index)"	0.569072	2.31879	8.58074	17.3342	31021.5	5.65452	14.2785	0
"vptree: triangle inequality"	0.696382	1.41457	0.90301	14.9875	56151.4	7.30631	8.89276	201
"bbtree"	0.760798	1.54829	4.86067	6.51611	9252.72	16.7579	53.9043	231
"permutation (incr. sorting)"	0.699879	1.56842	2.25538	27.2539	23302	4.02071	21.4145	6
"permutation (pref. index)"	0.497039	2.93938	11.4364	11.7113	21047.3	9.2127	22.8831	0
"vptree: triangle inequality"	0.567419	1.76924	1.97424	7.80881	28896.4	14.0012	17.261	201
"bbtree"	0.729108	1.65486	6.67103	3.07124	4638.1	38.432	107.543	232
"permutation (incr. sorting)"	0.696836	1.57133	2.83065	24.8785	19976	4.76381	24.98	6
"permutation (pref. index)"	0.403897	4.63914	32.6561	6.46432	11934.7	18.2872	41.6224	0
"vptree: triangle inequality"	0.450558	2.3694	4.06007	3.99293	14542.5	29.6269	34.335	200
"bbtree"	0.661058	1.98115	11.6795	1.36669	2276.78	79.6708	218.959	232
"permutation (incr. sorting)"	0.665462	1.69082	2.70515	22.1275	16649	4.95955	29.9718	6
"permutation (pref. index)"	0.352321	5.96381	52.6599	3.57045	6572.3	30.4403	75.0431	0
"vptree: triangle inequality"	0.397047	2.91206	6.68604	2.58583	9351.3	42.0782	53.1668	201
"bbtree"	0.615572	2.19531	14.7131	0.639966	1138.63	170.48	437.886	232
"permutation (incr. sorting)"	0.653706	1.74912	3.3462	19.8808	13322	5.51976	37.4568	6
"permutation (pref. index)"	0.328737	8.13562	95.2975	2.33943	4377.87	45.5661	108.359	0
"vptree: triangle inequality"	0.33396	3.84351	10.9121	1.39324	4936.39	78.4621	101.044	200
"bbtree"	0.572556	2.56639	24.9739	0.302114	575.893	389.258	866.256	231
"permutation (incr. sorting)"	0.622972	1.92921	4.30142	16.9589	9996	6.98571	49.92	6
"permutation (pref. index)"	0.288769	11.4777	148.097	1.29073	2240.3	88.424	199.911	0
"vptree: triangle inequality"	0.269464	7.01067	30.4322	0.479798	1631.8	245.998	305.798	201
"bbtree"	0.540225	3.00145	38.3453	0.148551	299.649	734.666	1665.25	232
"permutation (incr. sorting)"	0.55493	2.47664	9.6811	14.6228	6669	7.46354	74.8238	6
"permutation (pref. index)"	0.245988	20.2401	295.672	0.64516	1204.59	168.475	408.447	0
"vptree: triangle inequality"	0.205941	15.6398	101.442	0.143064	460.061	760.667	1081.54	201
"bbtree"	0.485794	3.64547	58.7049	0.0848692	166.656	1306.4	2994.18	231
"permutation (incr. sorting)"	0.501603	3.03568	13.3312	11.4243	3342	9.67359	149.312	6
"permutation (pref. index)"	0.251688	22.1624	393.5	0.519286	973.195	191.476	437.468	0
"vptree: triangle inequality"	0.169067	70.0704	1129.13	0.0263706	75.8831	4179.3	6561.36	201
